epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1128.56,0.8083,0.76443,1.29598,0.6396,0.46989,0.49874,0.25722,1.8735,1.83474,2.30134,0.000406,0.000406,0.000406
92,1140.55,0.81152,0.74464,1.2855,0.6943,0.48207,0.50814,0.25579,1.82909,1.85512,2.2401,0.0003994,0.0003994,0.0003994
93,1152.58,0.79971,0.73569,1.27105,0.69835,0.47378,0.52451,0.26578,1.81917,1.75014,2.26078,0.0003928,0.0003928,0.0003928
94,1164.67,0.79429,0.75157,1.27861,0.68156,0.48371,0.52321,0.27274,1.74044,1.73994,2.1653,0.0003862,0.0003862,0.0003862
95,1176.78,0.77283,0.7143,1.26681,0.63304,0.49174,0.5016,0.25914,1.80783,1.87311,2.23019,0.0003796,0.0003796,0.0003796
96,1188.86,0.77108,0.73299,1.26485,0.67542,0.47522,0.50285,0.25781,1.77994,1.90207,2.16911,0.000373,0.000373,0.000373
97,1200.82,0.80969,0.76773,1.30858,0.76283,0.46614,0.51842,0.2712,1.79033,1.70952,2.18152,0.0003664,0.0003664,0.0003664
98,1212.83,0.75948,0.6976,1.2558,0.5289,0.5215,0.51619,0.26768,1.77899,1.75057,2.22205,0.0003598,0.0003598,0.0003598
99,1224.87,0.77009,0.71836,1.27638,0.66165,0.46345,0.50282,0.26757,1.74857,1.68457,2.13841,0.0003532,0.0003532,0.0003532
100,1236.77,0.75992,0.70036,1.25065,0.71831,0.43883,0.50966,0.26488,1.77467,1.77369,2.13663,0.0003466,0.0003466,0.0003466
101,1248.86,0.7665,0.72469,1.27322,0.72053,0.47717,0.52295,0.27296,1.82157,1.78119,2.20294,0.00034,0.00034,0.00034
102,1260.79,0.74066,0.68753,1.22811,0.67428,0.49029,0.52591,0.27408,1.79656,1.99878,2.20363,0.0003334,0.0003334,0.0003334
103,1272.9,0.76591,0.72578,1.24773,0.61838,0.47594,0.47701,0.26765,1.79938,1.86013,2.24646,0.0003268,0.0003268,0.0003268
104,1284.82,0.7573,0.69374,1.23645,0.69484,0.48847,0.52433,0.2778,1.80454,1.81624,2.18338,0.0003202,0.0003202,0.0003202
105,1296.99,0.71737,0.63758,1.19863,0.67672,0.49949,0.52573,0.27041,1.78194,1.83457,2.20497,0.0003136,0.0003136,0.0003136
106,1309.02,0.73883,0.6865,1.22615,0.70976,0.48917,0.53536,0.27647,1.76044,1.65225,2.1789,0.000307,0.000307,0.000307
107,1321.11,0.71613,0.65052,1.21047,0.65275,0.49994,0.51804,0.27326,1.73607,1.68585,2.16446,0.0003004,0.0003004,0.0003004
108,1333.02,0.70975,0.64328,1.18903,0.7316,0.47878,0.52804,0.2764,1.69862,1.62763,2.10738,0.0002938,0.0002938,0.0002938
109,1344.91,0.68943,0.64917,1.19296,0.61809,0.51278,0.51966,0.27264,1.71668,1.75069,2.17084,0.0002872,0.0002872,0.0002872
110,1356.94,0.72265,0.67207,1.22113,0.73549,0.48339,0.52453,0.27082,1.71712,1.79215,2.11298,0.0002806,0.0002806,0.0002806
111,1368.98,0.70645,0.65741,1.21287,0.64569,0.50844,0.54501,0.28875,1.72046,1.75991,2.15894,0.000274,0.000274,0.000274
112,1381.31,0.70753,0.65919,1.21266,0.74042,0.47101,0.53135,0.28582,1.77119,1.79681,2.20347,0.0002674,0.0002674,0.0002674
113,1393.42,0.6801,0.62131,1.18964,0.73113,0.46749,0.52685,0.28232,1.69964,1.82887,2.1868,0.0002608,0.0002608,0.0002608
114,1405.51,0.7085,0.62577,1.19844,0.7356,0.45563,0.52554,0.28371,1.68928,1.83043,2.1059,0.0002542,0.0002542,0.0002542
115,1417.67,0.67702,0.61986,1.18204,0.60173,0.52679,0.52219,0.27892,1.69305,1.71868,2.17735,0.0002476,0.0002476,0.0002476
116,1429.75,0.65874,0.59534,1.16896,0.56093,0.56597,0.53632,0.28716,1.65964,1.63354,2.11066,0.000241,0.000241,0.000241
117,1441.77,0.68832,0.61252,1.1998,0.70526,0.4772,0.5294,0.29052,1.68738,1.73324,2.15384,0.0002344,0.0002344,0.0002344
118,1454,0.66706,0.59382,1.17308,0.63476,0.48632,0.50641,0.2671,1.71772,1.73492,2.16582,0.0002278,0.0002278,0.0002278
119,1466.8,0.67894,0.59833,1.17893,0.68175,0.50245,0.53556,0.28285,1.73941,1.66088,2.20838,0.0002212,0.0002212,0.0002212
120,1478.88,0.67947,0.60727,1.19045,0.62532,0.49665,0.53546,0.29224,1.71296,1.74008,2.17603,0.0002146,0.0002146,0.0002146
121,1491.1,0.63804,0.58091,1.14474,0.70552,0.47395,0.53536,0.28689,1.74109,1.74897,2.21613,0.000208,0.000208,0.000208
122,1503.03,0.64008,0.56681,1.15511,0.72383,0.5021,0.54759,0.29459,1.74245,1.72729,2.23815,0.0002014,0.0002014,0.0002014
